"time_pt","variable"
"15","AMYB, B18Raw, CCTHrs, CORTB, CTSETA1, ESETA1, HOMEETA1, IBRAfct, IBRApro, IBRAttn, IBRIrit, IBRReac, InRatioCor, PEmply, RHasSO, SEmply, pcx_engaged, pcx_neg, pcx_pos, pcx_sensitive"
"154","AMYB, CORTB, CTSETA1, ESETA1, HOMEETA1, InRatioCor, PEmply, RHasSO, SEmply, StrDif_CP, StrDif_ES, StrDif_HY, StrDif_PP, StrDif_PR, StrDif_Tot, WndNbrhood"
"24","AMYB, B18Raw, CCTHrs, CORTB, CTSETA1, ESETA1, HOMEETA1, IBRAfct, IBRApro, IBRAttn, IBRIrit, IBRReac, InRatioCor, LESMnNeg, LESMnPos, PEmply, QSSOverallMe, RHasSO, SEmply, WndNbrhood, pcx_engaged, pcx_neg, pcx_pos, pcx_sensitive"
"35","CCTHrs, CTSETA1, Chaos_HomEnv, Chaos_Unstable, ESETA1, HOMEETA1, InRatioCor, LESMnNeg, LESMnPos, PEmply, QSSOverallMe, RHasSO, SEmply, StrDif_CP, StrDif_ES, StrDif_HY, StrDif_PP, StrDif_PR, StrDif_Tot, WndNbrhood, pcx_engaged, pcx_neg, pcx_pos, pcx_sensitive"
"58","B18Raw, CCTHrs, CTSETA1, Chaos_HomEnv, Chaos_Unstable, ESETA1, HOMEETA1, InRatioCor, PEmply, QSSOverallMe, RHasSO, SEmply, StrDif_CP, StrDif_ES, StrDif_HY, StrDif_PP, StrDif_PR, StrDif_Tot, WndNbrhood, pcx_CompTwo"
"6","AMYB, B18Raw, CCTHrs, CORTB, CTSETA1, ESETA1, HOMEETA1, IBRAfct, IBRApro, IBRAttn, IBRIrit, IBRReac, InRatioCor, PEmply, QSSOverallMe, RHasSO, SEmply, WndNbrhood, pcx_engaged, pcx_neg, pcx_pos, pcx_sensitive"
"90","B18Raw, CTSETA1, Chaos_HomEnv, Chaos_Unstable, ESETA1, HOMEETA1, InRatioCor, PEmply, QSSOverallMe, RHasSO, SEmply, StrDif_CP, StrDif_ES, StrDif_HY, StrDif_PP, StrDif_PR, StrDif_Tot, WndNbrhood"
NA,"BioDadInHH2, DrnkFreq, HomeOwnd, KFASTScr, PmBlac2, PmEd2, PmMrSt2, RHealth, RMomAgeU, SWghtLB, SmokTotl, SurpPreg, TcBlac2, caregiv_health, gov_assist, peri_health, state"
